GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Demo,org.mipams.jumbf.demo.services.core,SingleFormatParser,5,14,1,1,1,5,1,2,0,2
Demo,org.mipams.jumbf.demo.services.core,BmffBoxParser,25,51,1,3,4,16,2,4,1,3
Demo,org.mipams.jumbf.demo.services.core,JsonBoxParser,0,11,0,0,0,3,0,3,0,3
Demo,org.mipams.jumbf.demo.services.core,JumbfBoxParser,14,49,1,1,3,13,1,4,0,4
Demo,org.mipams.jumbf.demo.services.core,BinaryDataBoxParser,0,11,0,0,0,3,0,3,0,3
Demo,org.mipams.jumbf.demo.services.core,CborBoxParser,4,7,0,0,1,2,1,2,1,2
Demo,org.mipams.jumbf.demo.services.core,XmlBoxParser,0,11,0,0,0,3,0,3,0,3
Demo,org.mipams.jumbf.demo.services.core,EmbeddedFileBoxParser,0,47,0,0,0,13,0,3,0,3
Demo,org.mipams.jumbf.demo.services.core,ContiguousCodestreamBoxParser,0,11,0,0,0,3,0,3,0,3
Demo,org.mipams.jumbf.demo.services.core,DescriptionBoxParser,13,61,2,6,3,18,2,6,0,4
Demo,org.mipams.jumbf.demo.services.core,EmbeddedFileDescriptionBoxParser,18,43,3,3,6,14,3,4,0,4
Demo,org.mipams.jumbf.demo.services.core,UuidBoxParser,12,31,1,1,3,10,1,4,0,4
Demo,org.mipams.jumbf.demo.services.core,PaddingBoxParser,17,3,0,0,5,1,3,1,3,1
Demo,org.mipams.jumbf.demo.services,DemoRequestParser,0,59,0,4,0,17,0,5,0,3
Demo,org.mipams.jumbf.demo.services.privacy_security,ReplacementDescriptionBoxParser,0,42,0,0,0,11,0,4,0,4
Demo,org.mipams.jumbf.demo.services.privacy_security,ProtectionDescriptionBoxParser,10,81,3,7,2,28,3,9,0,6
Demo,org.mipams.jumbf.demo.services.privacy_security,ReplacementBoxParser,0,42,0,0,0,12,0,3,0,3
Demo,org.mipams.jumbf.demo.services.privacy_security,ProtectionBoxParser,0,41,0,0,0,11,0,3,0,3
Demo,org.mipams.jumbf.demo.services.privacy_security.replacement,AppReplacementDataBoxParser,0,17,0,0,0,4,0,2,0,2
Demo,org.mipams.jumbf.demo.services.privacy_security.replacement,BoxReplacementDataBoxParser,0,49,0,4,0,15,0,4,0,2
Demo,org.mipams.jumbf.demo.services.privacy_security.replacement,RoiReplacementDataBoxParser,0,17,0,0,0,5,0,2,0,2
Demo,org.mipams.jumbf.demo.services.privacy_security.replacement,ParamParserFactory,4,32,1,4,1,12,1,5,0,2
Demo,org.mipams.jumbf.demo.services.privacy_security.replacement,DataBoxParserFactory,7,24,1,3,1,10,1,4,0,2
Demo,org.mipams.jumbf.demo.entities.privacy_security.replacement,BoxParamParser,0,35,0,4,0,10,0,4,0,2
Demo,org.mipams.jumbf.demo.entities.privacy_security.replacement,FileParamParser,0,9,0,0,0,3,0,2,0,2
Demo,org.mipams.jumbf.demo.entities.privacy_security.replacement,AppParamParser,0,20,1,1,0,6,1,2,0,2
Demo,org.mipams.jumbf.demo.entities.privacy_security.replacement,RoiParamParser,0,25,0,0,0,7,0,2,0,2
Demo,org.mipams.jumbf.demo.controller,DemoController,0,110,0,6,0,24,0,8,0,5
Demo,org.mipams.jumbf.demo,ContentBoxParserManager,0,38,0,4,0,8,0,5,0,3
Demo,org.mipams.jumbf.demo,DemoApplication,0,15,0,0,0,5,0,3,0,3
